t,h,v
0.0,10.0,0.0
0.01,9.998535620590646,-0.0981
0.02,9.995972505896079,-0.1962
0.03,9.993409391201514,-0.2943
0.04,9.990846276506947,-0.3924000000000001
0.05,9.982606437709707,-0.4905
0.06,9.956933272490359,-0.5886
0.07,9.931260107271012,-0.6867000000000001
0.08,9.905586942051663,-0.7848
0.09,9.879913776832316,-0.8829
0.1,9.854240611612967,-0.9810000000000001
0.11,9.828567446393619,-1.0791
0.12,9.802894281174272,-1.1772
0.13,9.777221115954923,-1.2753
0.14,9.751547950735576,-1.3734000000000002
0.15,9.725874785516227,-1.4715
0.16,9.70020162029688,-1.5696
0.17,9.674528455077532,-1.6677000000000002
0.18,9.648855289858185,-1.7658
0.19,9.623182124638836,-1.8639000000000001
0.2,9.59750895941949,-1.9620000000000002
0.21,9.57183579420014,-2.0601
0.22,9.546162628980793,-2.1582
0.23,9.520489463761445,-2.2563
0.24,9.494816298542096,-2.3544
0.25,9.46914313332275,-2.4525
0.26,9.4434699681034,-2.5506
0.27,9.417796802884054,-2.6487000000000003
0.28,9.392123637664705,-2.7468000000000004
0.29,9.366450472445358,-2.8449
0.3,9.34077730722601,-2.943
0.31,9.315104142006662,-3.0411
0.32,9.289430976787314,-3.1392000000000007
0.33,9.263757811567965,-3.2373000000000007
0.34,9.238084646348618,-3.335400000000001
0.35000000000000003,9.21241148112927,-3.433500000000001
0.36,9.186738315909922,-3.5315999999999996
0.37,9.161065150690574,-3.6296999999999997
0.38,9.135391985471227,-3.7278
0.39,9.109718820251878,-3.8259
0.4,9.084045655032531,-3.924
0.41000000000000003,9.058372489813182,-4.0221
0.42,9.032699324593835,-4.1202000000000005
0.43,9.007026159374487,-4.2183
0.44,8.98135299415514,-4.316400000000001
0.45,8.955679828935791,-4.4145
0.46,8.930006663716442,-4.512600000000001
0.47000000000000003,8.904333498497095,-4.6107000000000005
0.48,8.85066109988202,-4.708799999999999
0.49,8.757284243672418,-4.806899999999999
0.5,8.663907387462816,-4.904999999999999
0.51,8.570530531253215,-5.003099999999999
0.52,8.477153675043613,-5.1011999999999995
0.53,8.383776818834011,-5.199299999999999
0.54,8.29039996262441,-5.2974
0.55,8.197023106414807,-5.3955
0.56,8.103646250205207,-5.4936
0.5700000000000001,8.010269393995605,-5.5917
0.58,7.916892537786004,-5.689799999999999
0.59,7.823515681576403,-5.787899999999999
0.6,7.730138825366801,-5.885999999999999
0.61,7.636761969157199,-5.984099999999999
0.62,7.543385112947598,-6.082199999999999
0.63,7.450008256737996,-6.180299999999999
0.64,7.356631400528395,-6.2783999999999995
0.65,7.263254544318793,-6.376499999999999
0.66,7.169877688109191,-6.4746
0.67,7.0765008318995894,-6.5727
0.68,6.983123975689987,-6.6708
0.6900000000000001,6.889747119480386,-6.7689
0.7000000000000001,6.796370263270784,-6.867
0.71,6.702993407061183,-6.965099999999999
0.72,6.609616550851582,-7.063199999999999
0.73,6.51623969464198,-7.161299999999999
0.74,6.422862838432379,-7.259399999999999
0.75,6.329485982222777,-7.357499999999999
0.76,6.236109126013175,-7.4556
0.77,6.142732269803574,-7.553699999999999
0.78,6.049355413593972,-7.6518
0.79,5.955978557384371,-7.7499
0.8,5.862601701174769,-7.848
0.81,5.769224844965167,-7.9461
0.8200000000000001,5.6758479887555655,-8.0442
0.8300000000000001,5.5824711325459635,-8.1423
0.84,5.489094276336363,-8.2404
0.85,5.395717420126761,-8.3385
0.86,5.302340563917159,-8.436599999999999
0.87,5.208963707707558,-8.534699999999999
0.88,5.115586851497956,-8.6328
0.89,5.022209995288355,-8.7309
0.9,4.928833139078753,-8.828999999999999
0.91,4.835456282869151,-8.9271
0.92,4.74207942665955,-9.0252
0.93,4.648702570449948,-9.1233
0.9400000000000001,4.555325714240347,-9.221400000000001
0.9500000000000001,4.461948858030745,-9.3195
0.96,4.368572001821144,-9.417599999999998
0.97,4.2751951456115425,-9.515699999999999
0.98,4.1818182894019404,-9.6138
0.99,4.088441433192339,-9.7119
1.0,3.9950645769827373,-9.809999999999999
1.01,3.9016877207731357,-9.9081
1.02,3.808310864563534,-10.0062
1.03,3.714934008353932,-10.1043
1.04,3.6215571521443306,-10.2024
1.05,3.528180295934729,-10.3005
1.06,3.4348034397251275,-10.3986
1.07,3.3414265835155255,-10.4967
1.08,3.248049727305924,-10.594800000000001
1.09,3.1546728710963223,-10.6929
1.1,3.0612960148867208,-10.791
1.11,2.967919158677119,-10.889100000000001
1.12,2.874542302467517,-10.987200000000001
1.1300000000000001,2.7811654462579156,-11.0853
1.1400000000000001,2.687788590048314,-11.1834
1.1500000000000001,2.5944117338387125,-11.281500000000001
1.16,2.5010348776291127,-11.379599999999998
1.17,2.407658021419511,-11.477699999999999
1.18,2.3142811652099096,-11.5758
1.19,2.2209043090003076,-11.6739
1.2,2.127527452790706,-11.771999999999998
1.21,2.0341505965811044,-11.870099999999999
1.22,1.9407737403715026,-11.9682
1.23,1.847396884161901,-12.0663
1.24,1.7540200279522993,-12.164399999999999
1.25,1.6606431717426977,-12.2625
1.26,1.5672663155330961,-12.3606
1.27,1.4738894593234944,-12.4587
1.28,1.3805126031138928,-12.556799999999999
1.29,1.287135746904291,-12.6549
1.3,1.1937588906946894,-12.753
1.31,1.1003820344850876,-12.8511
1.32,1.007005178275486,-12.949200000000001
1.33,0.9136283220658844,-13.0473
1.34,0.8202514658562827,-13.1454
1.35,0.726874609646681,-13.243500000000001
1.36,0.6334977534370794,-13.341600000000001
1.37,0.5401208972274777,-13.4397
1.3800000000000001,0.446744041017876,-13.5378
1.3900000000000001,0.3533671848082744,-13.635900000000001
1.4000000000000001,0.2599903285986727,-13.734000000000002
1.41,0.16661347238907312,-13.832099999999999
1.42,0.07323661617947144,-13.9302
1.43,0.027147750255491383,12.585267968237556
1.44,0.15128513587245188,12.487167968237555
1.45,0.27491168742530003,12.389067968237555
1.46,0.3985382389781482,12.290967968237554
1.47,0.5221647905309964,12.192867968237556
1.48,0.6305392236899748,12.094767968237555
1.49,0.7321863527229812,11.996667968237555
1.5,0.8338334817559875,11.898567968237554
1.51,0.9354806107889939,11.800467968237554
1.52,1.0371277398220002,11.702367968237555
1.53,1.1387748688550066,11.604267968237554
1.54,1.2404219978880129,11.506167968237554
1.55,1.3420691269210192,11.408067968237553
1.56,1.4437162559540255,11.309967968237554
1.57,1.5453633849870319,11.211867968237554
1.58,1.6470105140200382,11.113767968237553
1.59,1.7486576430530445,11.015667968237553
1.6,1.8503047720860508,10.917567968237554
1.61,1.9519519011190571,10.819467968237554
1.62,2.0535990301520632,10.721367968237553
1.6300000000000001,2.1552461591850696,10.623267968237553
1.6400000000000001,2.256893288218076,10.525167968237554
1.6500000000000001,2.358540417251082,10.427067968237553
1.6600000000000001,2.4601875462840885,10.328967968237553
1.67,2.5618346753170926,10.230867968237556
1.68,2.663481804350099,10.132767968237555
1.69,2.7651289333831053,10.034667968237555
1.7,2.8667760624161116,9.936567968237554
1.71,2.968423191449118,9.838467968237556
1.72,3.0700703204821242,9.740367968237555
1.73,3.1717174495151306,9.642267968237554
1.74,3.273364578548137,9.544167968237554
1.75,3.375011707581143,9.446067968237553
1.76,3.4766588366141495,9.347967968237555
1.77,3.578305965647156,9.249867968237554
1.78,3.679953094680162,9.151767968237554
1.79,3.7816002237131685,9.053667968237553
1.8,3.883247352746175,8.955567968237554
1.81,3.984894481779181,8.857467968237554
1.82,4.086541610812188,8.759367968237553
1.83,4.188188739845194,8.661267968237553
1.84,4.289835868878201,8.563167968237554
1.85,4.391482997911207,8.465067968237554
1.86,4.493130126944213,8.366967968237553
1.87,4.5947772559772195,8.268867968237553
1.8800000000000001,4.696424385010226,8.170767968237554
1.8900000000000001,4.6795077450438445,8.072667968237553
1.9000000000000001,4.657308528298804,7.974567968237553
1.9100000000000001,4.635109311553764,7.876467968237553
1.92,4.612910094808724,7.778367968237555
1.93,4.590710878063684,7.680267968237556
1.94,4.568511661318643,7.582167968237555
1.95,4.546312444573603,7.4840679682375555
1.96,4.524113227828563,7.385967968237555
1.97,4.501914011083523,7.287867968237555
1.98,4.4797147943384825,7.189767968237555
1.99,4.457515577593442,7.091667968237555
2.0,4.435316360848402,6.993567968237555
2.0100000000000002,4.413117144103362,6.895467968237552
2.02,4.390917927358322,6.7973679682375545
2.0300000000000002,4.368718710613281,6.699267968237552
