t,S_mean,I_mean,R_mean
0.0,990.0,10.0,0.0
1.0,986.3728964160766,12.405220534515568,1.2218830494086867
2.0,982.3960377836354,15.025944100991767,2.5780181153732027
3.0,977.5766135429894,18.240431753476482,4.182954703531216
4.0,971.7962540837129,22.059724125976054,6.144021790311844
5.0,964.9055963515427,26.525760960304908,8.56864268815318
6.0,956.5303878675251,32.010546673993396,11.459065458482417
7.0,946.6516836449235,38.37224767224066,14.976068682839331
8.0,934.9007669756026,45.91731642814449,19.181916596254705
9.0,921.1586530255796,54.6727092003361,24.168637774082487
10.0,905.1304724637304,64.77894429488131,30.090583241389243
11.0,886.5304289616143,76.3745989686917,37.09497206969611
12.0,865.2137151124309,89.38308869506811,45.403196192502776
13.0,841.1104450931365,103.84888890854957,55.0406659983148
14.0,814.0491443727038,119.7010484205107,66.24980720678433
15.0,784.2489545640134,136.78830923171878,78.96273620426817
16.0,751.7616976469812,154.7244303073935,93.51387204562528
17.0,716.883453271191,173.29797510059961,109.81857162821044
18.0,679.9148565649812,192.0071758053184,128.0779676296988
19.0,641.4116568321174,210.31141186114726,148.27693130673572
20.0,602.101506046727,227.7270086270505,170.17148532622178
21.0,562.6222617428683,243.57645373000452,193.8012845271267
22.0,523.2768276670485,257.7272992869785,218.99587304597372
23.0,484.73996484197556,269.79767471538537,245.46236044263867
24.0,447.65133516690173,279.3849679237016,272.9636969093972
25.0,412.1697697291652,286.6329107809598,301.19731948987436
26.0,378.626175593627,291.1958351759017,330.177989230471
27.0,347.4592617301945,293.153306538257,359.38743173154853
28.0,318.6162010272253,292.6692590543078,388.7145399184662
29.0,292.1424022155269,290.0969413529036,417.7606564315699
30.0,268.19536321002363,285.2304815387761,446.574155251201
31.0,246.31025090080857,278.83937765148977,474.8503714477025
32.0,226.85804485596464,270.80716179650426,502.33479334753093
33.0,209.34711455206406,261.6928218140848,528.9600636338528
34.0,193.74457126041662,251.50162936227466,554.7537993773117
35.0,179.7318898054473,240.9150923693771,579.3530178251766
36.0,167.2629674179307,229.79258163474984,602.9444509473192
37.0,156.0878625295815,218.6497904591454,625.2623470112713
38.0,146.19215298401195,207.3232244386185,646.4846225773683
39.0,137.34411137588586,195.94716210115996,666.7087265229516
40.0,129.57509304151947,184.60618512373566,685.818721834743
41.0,122.62996797923306,173.5465914604261,703.823440560341
42.0,116.41790561725479,162.91567872328596,720.6664156594574
43.0,110.92827116860819,152.5825777785969,736.4891510527915
44.0,106.01020977863057,142.70926997946324,751.2805202419036
45.0,101.56679806035226,133.3764533219446,765.0567486177026
46.0,97.59748308844506,124.46251994996283,777.9399969615918
47.0,94.02948945704713,116.01919075300083,789.9513197899515
48.0,90.83191654974736,108.05567729612123,801.1124061541308
49.0,87.96896970464529,100.45737898375732,811.5736513115953
50.0,85.36237017459891,93.29776848365405,821.3398613417482
51.0,83.06971757504091,86.46824860556669,830.46203381939
52.0,80.96573379768903,80.22742995470983,838.8068362476013
53.0,79.06061696270457,74.3370994435559,846.6022835937407
54.0,77.31615863183868,68.9035009195765,853.7803404485827
55.0,75.74496783775143,63.78001020400397,860.4750219582444
56.0,74.30647559216702,59.08742828779965,866.606096120034
57.0,73.00173738784562,54.642892992388845,872.3553696197632
58.0,71.84211813625042,50.51077086602142,877.6471109977258
59.0,70.77734846686481,46.72823703496221,882.4944144981746
60.0,69.80819898369737,43.14386110668167,887.0479399096217
61.0,68.91692241905047,39.89087508125052,891.1922024997001
62.0,68.10686124927376,36.83534516162388,895.0577935891015
63.0,67.36256774308897,33.997729236639955,898.6397030202719
64.0,66.69280559690259,31.3623641273253,901.9448302757745
65.0,66.07048191000665,28.932221573113168,904.997296516878
66.0,65.49343934893587,26.672320583665883,907.8342400673972
67.0,64.97965240127478,24.585458768658825,910.4348888300631
68.0,64.51017589959417,22.67377314525218,912.816050955156
69.0,64.08778980469104,20.892711732973424,915.0194984623363
70.0,63.700323052561146,19.240851058008893,917.0588258894319
71.0,63.34645675874545,17.677456434524068,918.9760868067291
72.0,63.02473396143379,16.281890696921124,920.6933753416462
73.0,62.71738969624735,14.997206423706151,922.2854038800448
74.0,62.43668180948284,13.803320862183353,923.759997328336
75.0,62.18285062637469,12.696125215738286,925.121024157889
76.0,61.944906220659846,11.678092773153319,926.3770010061862
77.0,61.72178206887221,10.770563479674381,927.5076544514524
78.0,61.52007740084005,9.923295709071693,928.5566268900867
79.0,61.34308256897191,9.126646721837552,929.5302707091911
80.0,61.1762294459822,8.384232289947029,930.439538264072
81.0,61.02094354873658,7.716312776429317,931.2627436748355
82.0,60.876419741461554,7.083843582217589,932.0397366763214
83.0,60.74109548588815,6.488402767025058,932.7705017470859
84.0,60.620531684385405,5.969010300924968,933.4104580146886
85.0,60.51048806492605,5.47463764090801,934.0148742941657
86.0,60.408439216461204,5.024307430985483,934.5672533525548
87.0,60.3136738300523,4.59979730327815,935.0865288666712
88.0,60.231480668650754,4.206130554000498,935.5623887773503
89.0,60.15565972457449,3.847534640402218,935.9968056350203
90.0,60.08975824245227,3.518442461329297,936.3917992962154
91.0,60.02820140439975,3.213209081177329,936.7585895144215
92.0,59.96574703725178,2.9397136731741367,937.094539289573
93.0,59.91183397474381,2.6860476083664415,937.4021184168912
94.0,59.86291753673467,2.4503657691559373,937.6867166941115
95.0,59.818980019851125,2.239584603795235,937.9414353763534
96.0,59.77695219678566,2.0438598069630265,938.1791879962503
97.0,59.738347466853085,1.870295906842034,938.3913566263038
98.0,59.702278549058725,1.7101725092028726,938.587548941738
99.0,59.66877330016964,1.5620573225059533,938.7691693773235
100.0,59.639098083454265,1.4230764319012532,938.937825484644
101.0,59.61573594947044,1.2886622201308262,939.0956018303964
102.0,59.592375481577214,1.1719597523418706,939.2356647660802
103.0,59.570420514556965,1.0666236079295783,939.362955877514
104.0,59.54995844399407,0.9728589510216722,939.477182604982
105.0,59.530542708292636,0.8859040866260197,939.5835532050822
106.0,59.513116434853885,0.8083978839993766,939.6784856811475
107.0,59.49694656919702,0.7406440369151877,939.7624093938887
108.0,59.48211833285508,0.677030253206705,939.8408514139378
109.0,59.46873550928947,0.6174136167277359,939.9138508739816
110.0,59.45762656800017,0.5625699130753378,939.9798035189247
111.0,59.44628852633244,0.5129226617547339,940.0407888119131
112.0,59.4359287838133,0.46790071898212926,940.0961704972057
113.0,59.42711019586238,0.42622864487350964,940.1466611592635
114.0,59.419889012865376,0.3861844500231213,940.1939265371142
115.0,59.412673712922064,0.34999640001375915,940.2373298870648
116.0,59.40626041750609,0.3181695615936077,940.2755700209007
117.0,59.39986504347243,0.29094004212614516,940.3091949144014
118.0,59.393502449793075,0.264768181810798,940.3417293683962
119.0,59.38749040928144,0.24231242575537043,940.3701971649639
120.0,59.38326817509936,0.22040112415316804,940.3963307007488
121.0,59.3786852528348,0.20147391927880073,940.419840827886
122.0,59.37397628601254,0.18583454819352957,940.4401891657932
123.0,59.370486399362285,0.1708305323329111,940.458683068306
124.0,59.36733960349853,0.15465740902992436,940.4780029874714
125.0,59.364990835017224,0.14081230196433514,940.4941968630187
126.0,59.362217745326646,0.1295590501943004,940.5082232044787
127.0,59.36021034024979,0.11805925169617686,940.5217304080542
128.0,59.35842990870268,0.10721524750204632,940.5343548437951
129.0,59.356540195201596,0.09747647585661019,940.5459833289415
130.0,59.354546790730765,0.08780512163234473,940.5576480876362
131.0,59.35308318295219,0.0787697784979796,940.5681470385499
132.0,59.351423604798676,0.07220418753286383,940.5763722076696
133.0,59.34972571909566,0.06707478927903177,940.5831994916249
134.0,59.34811985796788,0.06249475932594849,940.5893853827063
135.0,59.34682941600101,0.05765471819816463,940.5955158658013
136.0,59.34577557284953,0.05342798292292882,940.6007964442266
137.0,59.344556260752675,0.04921485854415696,940.6062288807035
138.0,59.343642289632236,0.0446920613025203,940.6116656490656
139.0,59.34249843217896,0.04110193201395181,940.6163996358073
140.0,59.34147868550714,0.037669306507722856,940.6208520079847
141.0,59.34066896150657,0.03429327838693031,940.6250377601065
142.0,59.339918176964204,0.031380094603129856,940.628701728433
143.0,59.339496209527645,0.02749413176116663,940.6330096587109
144.0,59.33915519668464,0.024033770964190775,940.6368110323511
145.0,59.33887513020153,0.021472527771823062,940.6396523420273
146.0,59.33852588658872,0.019444832887791166,940.6420292805236
147.0,59.33828689580733,0.017646293049812984,940.6440668111425
148.0,59.33806943549325,0.016178625540314347,940.6457519389663
149.0,59.33769989311399,0.015010660052868304,940.6472894468332
150.0,59.33720584450229,0.013569356462712567,940.6492247990345
151.0,59.336951824304045,0.01254462786836833,940.6505035478274
152.0,59.33667495698496,0.011655105058258486,940.6516699379565
153.0,59.336426682621195,0.010958258957798733,940.6526150584208
154.0,59.336215494461825,0.00995162704751656,940.6538328784909
155.0,59.336009144344125,0.009172761748406704,940.6548180939072
156.0,59.33580639491002,0.007947108214653128,940.6562464968752
157.0,59.335544275193385,0.007103436167268603,940.657352288639
158.0,59.33530130415224,0.006471478767047095,940.658227217081
159.0,59.3350874934937,0.00570662923009265,940.6592058772759
160.0,59.3348,0.0048,940.6604
