family,benchmark_id,platform,tool,version,solver,step_mode,abs_tol,rel_tol,dt_init,dt_max,seed,params_json,scale_param,scale_value,repeat_idx,run_id,start_ts,end_ts,wall_time_s,cpu_time_s,peak_mem_mb,n_steps,n_events,rmse,linf,event_time_err_mean,event_time_err_max,throughput,L_timeavg,status,error_message,host
DES,des_mm1,R,simmer,4.4.7,event_loop,event,,,,,6,"{""lambda"":0.9,""mu"":1,""horizon"":10000}",rho,0.9,0,r_1758743424,,,0.034,0.033,154.44,18256,9128,,,,,0.9128,8.36195048603458,OK,,R version 4.5.1 (2025-06-13)
DES,des_mm1,R,simmer,4.4.7,event_loop,event,,,,,7,"{""lambda"":0.9,""mu"":1,""horizon"":10000}",rho,0.9,0,r_1758743425,,,0.031,0.031,159.98,18026,9013,,,,,0.9013,9.83421041880886,OK,,R version 4.5.1 (2025-06-13)
DES,des_mm1,R,simmer,4.4.7,event_loop,event,,,,,8,"{""lambda"":0.9,""mu"":1,""horizon"":10000}",rho,0.9,0,r_1758743425,,,0.032,0.032,166.39,17982,8991,,,,,0.8991,9.22694940707024,OK,,R version 4.5.1 (2025-06-13)
DES,des_mm1,R,simmer,4.4.7,event_loop,event,,,,,9,"{""lambda"":0.9,""mu"":1,""horizon"":10000}",rho,0.9,0,r_1758743426,,,0.032,0.031,157.8,18206,9103,,,,,0.9103,9.01817982869099,OK,,R version 4.5.1 (2025-06-13)
DES,des_mm1,R,simmer,4.4.7,event_loop,event,,,,,10,"{""lambda"":0.9,""mu"":1,""horizon"":10000}",rho,0.9,0,r_1758743426,,,0.031,0.031,162.75,17748,8874,,,,,0.8874,7.09910816492143,OK,,R version 4.5.1 (2025-06-13)
DES,des_mm1,R,simmer,4.4.7,event_loop,event,,,,,6,"{""lambda"":0.9,""mu"":1,""horizon"":30000}",rho,0.9,0,r_1758743427,,,0.097,0.097,186.23,54398,27199,,,,,0.906633333333333,9.62794271062891,OK,,R version 4.5.1 (2025-06-13)
DES,des_mm1,R,simmer,4.4.7,event_loop,event,,,,,7,"{""lambda"":0.9,""mu"":1,""horizon"":30000}",rho,0.9,0,r_1758743428,,,0.092,0.092,180.22,53418,26709,,,,,0.8903,7.49729555850576,OK,,R version 4.5.1 (2025-06-13)
DES,des_mm1,R,simmer,4.4.7,event_loop,event,,,,,8,"{""lambda"":0.9,""mu"":1,""horizon"":30000}",rho,0.9,0,r_1758743429,,,0.091,0.092,177.72,53954,26977,,,,,0.899233333333333,9.1165571664088,OK,,R version 4.5.1 (2025-06-13)
DES,des_mm1,R,simmer,4.4.7,event_loop,event,,,,,9,"{""lambda"":0.9,""mu"":1,""horizon"":30000}",rho,0.9,0,r_1758743429,,,0.092,0.092,178.75,54104,27052,,,,,0.901733333333333,7.98305141592407,OK,,R version 4.5.1 (2025-06-13)
DES,des_mm1,R,simmer,4.4.7,event_loop,event,,,,,10,"{""lambda"":0.9,""mu"":1,""horizon"":30000}",rho,0.9,0,r_1758743430,,,0.092,0.092,177.64,53200,26600,,,,,0.886666666666667,8.32756745648473,OK,,R version 4.5.1 (2025-06-13)
DES,des_mm1,R,simmer,4.4.7,event_loop,event,,,,,6,"{""lambda"":0.9,""mu"":1,""horizon"":1e+05}",rho,0.9,0,r_1758743431,,,0.314,0.315,229.55,180050,90025,,,,,0.90025,8.59246385498096,OK,,R version 4.5.1 (2025-06-13)
DES,des_mm1,R,simmer,4.4.7,event_loop,event,,,,,7,"{""lambda"":0.9,""mu"":1,""horizon"":1e+05}",rho,0.9,0,r_1758743432,,,0.3,0.3,220.23,179754,89877,,,,,0.89877,9.36838076911826,OK,,R version 4.5.1 (2025-06-13)
DES,des_mm1,R,simmer,4.4.7,event_loop,event,,,,,8,"{""lambda"":0.9,""mu"":1,""horizon"":1e+05}",rho,0.9,0,r_1758743433,,,0.324,0.325,223.16,179996,89998,,,,,0.89998,8.85782156312917,OK,,R version 4.5.1 (2025-06-13)
DES,des_mm1,R,simmer,4.4.7,event_loop,event,,,,,9,"{""lambda"":0.9,""mu"":1,""horizon"":1e+05}",rho,0.9,0,r_1758743434,,,0.317,0.317,232.28,180172,90086,,,,,0.90086,8.93710846647066,OK,,R version 4.5.1 (2025-06-13)
DES,des_mm1,R,simmer,4.4.7,event_loop,event,,,,,10,"{""lambda"":0.9,""mu"":1,""horizon"":1e+05}",rho,0.9,0,r_1758743435,,,0.318,0.318,232.56,179432,89716,,,,,0.89716,8.77631981039506,OK,,R version 4.5.1 (2025-06-13)
DES,des_mm1,R,simmer,4.4.7,event_loop,event,,,,,6,"{""lambda"":0.9,""mu"":1,""horizon"":3e+05}",rho,0.9,0,r_1758743437,,,0.938,0.935,413.0,540276,270138,,,,,0.90046,8.88419378338127,OK,,R version 4.5.1 (2025-06-13)
DES,des_mm1,R,simmer,4.4.7,event_loop,event,,,,,7,"{""lambda"":0.9,""mu"":1,""horizon"":3e+05}",rho,0.9,0,r_1758743439,,,0.957,0.957,413.97,538072,269036,,,,,0.896786666666667,8.74196098633529,OK,,R version 4.5.1 (2025-06-13)
DES,des_mm1,R,simmer,4.4.7,event_loop,event,,,,,8,"{""lambda"":0.9,""mu"":1,""horizon"":3e+05}",rho,0.9,0,r_1758743440,,,0.97,0.97,434.55,539546,269773,,,,,0.899243333333333,8.95277450906898,OK,,R version 4.5.1 (2025-06-13)
DES,des_mm1,R,simmer,4.4.7,event_loop,event,,,,,9,"{""lambda"":0.9,""mu"":1,""horizon"":3e+05}",rho,0.9,0,r_1758743442,,,0.987,0.987,438.47,540254,270127,,,,,0.900423333333333,8.77521416302336,OK,,R version 4.5.1 (2025-06-13)
DES,des_mm1,R,simmer,4.4.7,event_loop,event,,,,,10,"{""lambda"":0.9,""mu"":1,""horizon"":3e+05}",rho,0.9,0,r_1758743444,,,0.943,0.942,406.12,539870,269935,,,,,0.899783333333333,8.92546516461696,OK,,R version 4.5.1 (2025-06-13)
DES,des_mm1,R,simmer,4.4.7,event_loop,event,,,,,6,"{""lambda"":0.9,""mu"":1,""horizon"":1e+06}",rho,0.9,0,r_1758743449,,,3.124,3.12,708.92,1800694,900347,,,,,0.900347,8.95662475990501,OK,,R version 4.5.1 (2025-06-13)
DES,des_mm1,R,simmer,4.4.7,event_loop,event,,,,,7,"{""lambda"":0.9,""mu"":1,""horizon"":1e+06}",rho,0.9,0,r_1758743454,,,3.137,3.138,664.73,1797914,898957,,,,,0.898957,9.10427971976795,OK,,R version 4.5.1 (2025-06-13)
DES,des_mm1,R,simmer,4.4.7,event_loop,event,,,,,8,"{""lambda"":0.9,""mu"":1,""horizon"":1e+06}",rho,0.9,0,r_1758743458,,,3.128,3.126,678.58,1800284,900142,,,,,0.900142,9.16147753160478,OK,,R version 4.5.1 (2025-06-13)
DES,des_mm1,R,simmer,4.4.7,event_loop,event,,,,,9,"{""lambda"":0.9,""mu"":1,""horizon"":1e+06}",rho,0.9,0,r_1758743463,,,3.136,3.136,706.62,1802662,901331,,,,,0.901331,8.74951136566202,OK,,R version 4.5.1 (2025-06-13)
DES,des_mm1,R,simmer,4.4.7,event_loop,event,,,,,10,"{""lambda"":0.9,""mu"":1,""horizon"":1e+06}",rho,0.9,0,r_1758743468,,,3.128,3.128,697.98,1801126,900563,,,,,0.900563,8.88468234464371,OK,,R version 4.5.1 (2025-06-13)
