family,benchmark_id,platform,tool,version,solver,step_mode,abs_tol,rel_tol,dt_init,dt_max,seed,params_json,scale_param,scale_value,repeat_idx,run_id,start_ts,end_ts,wall_time_s,cpu_time_s,peak_mem_mb,n_steps,n_events,rmse,linf,event_time_err_mean,event_time_err_max,throughput,L_timeavg,status,error_message,host
DES,des_mm1,python,simpy,4.1.1,event_loop,event,,,,,6,"{""lambda"": 0.9, ""mu"": 1.0, ""horizon"": 10000.0}",rho,0.9,0,py_1758743385,,,0.0519114589988021,0.05135,33.56,18102,9046,,,,,0.9046,7.599505894329124,OK,,macOS-15.7-arm64-arm-64bit-Mach-O
DES,des_mm1,python,simpy,4.1.1,event_loop,event,,,,,7,"{""lambda"": 0.9, ""mu"": 1.0, ""horizon"": 10000.0}",rho,0.9,0,py_1758743385,,,0.0506437920012103,0.050636,33.92,17912,8955,,,,,0.8955,10.541167571415162,OK,,macOS-15.7-arm64-arm-64bit-Mach-O
DES,des_mm1,python,simpy,4.1.1,event_loop,event,,,,,8,"{""lambda"": 0.9, ""mu"": 1.0, ""horizon"": 10000.0}",rho,0.9,0,py_1758743385,,,0.0534270419993845,0.053296,34.2,17942,8962,,,,,0.8962,7.435546300540222,OK,,macOS-15.7-arm64-arm-64bit-Mach-O
DES,des_mm1,python,simpy,4.1.1,event_loop,event,,,,,9,"{""lambda"": 0.9, ""mu"": 1.0, ""horizon"": 10000.0}",rho,0.9,0,py_1758743386,,,0.0548921670015261,0.054132,34.38,17793,8896,,,,,0.8896,6.877959854235183,OK,,macOS-15.7-arm64-arm-64bit-Mach-O
DES,des_mm1,python,simpy,4.1.1,event_loop,event,,,,,10,"{""lambda"": 0.9, ""mu"": 1.0, ""horizon"": 10000.0}",rho,0.9,0,py_1758743386,,,0.051901374998124,0.051882,34.22,18037,9009,,,,,0.9009,8.061316498898282,OK,,macOS-15.7-arm64-arm-64bit-Mach-O
DES,des_mm1,python,simpy,4.1.1,event_loop,event,,,,,6,"{""lambda"": 0.9, ""mu"": 1.0, ""horizon"": 30000.0}",rho,0.9,0,py_1758743386,,,0.1445507909993466,0.143977,34.16,54235,27113,,,,,0.9037666666666668,9.889790853028847,OK,,macOS-15.7-arm64-arm-64bit-Mach-O
DES,des_mm1,python,simpy,4.1.1,event_loop,event,,,,,7,"{""lambda"": 0.9, ""mu"": 1.0, ""horizon"": 30000.0}",rho,0.9,0,py_1758743387,,,0.143149582996557,0.142175,34.34,54005,27001,,,,,0.9000333333333334,9.17911502357612,OK,,macOS-15.7-arm64-arm-64bit-Mach-O
DES,des_mm1,python,simpy,4.1.1,event_loop,event,,,,,8,"{""lambda"": 0.9, ""mu"": 1.0, ""horizon"": 30000.0}",rho,0.9,0,py_1758743387,,,0.139006084002176,0.138855,33.88,53964,26982,,,,,0.8994,8.095046449096355,OK,,macOS-15.7-arm64-arm-64bit-Mach-O
DES,des_mm1,python,simpy,4.1.1,event_loop,event,,,,,9,"{""lambda"": 0.9, ""mu"": 1.0, ""horizon"": 30000.0}",rho,0.9,0,py_1758743388,,,0.1382453330006683,0.1381029999999999,33.92,53208,26603,,,,,0.8867666666666667,7.231258503773043,OK,,macOS-15.7-arm64-arm-64bit-Mach-O
DES,des_mm1,python,simpy,4.1.1,event_loop,event,,,,,10,"{""lambda"": 0.9, ""mu"": 1.0, ""horizon"": 30000.0}",rho,0.9,0,py_1758743388,,,0.1397937910005566,0.13977,33.91,54402,27199,,,,,0.9066333333333332,8.247951293355529,OK,,macOS-15.7-arm64-arm-64bit-Mach-O
DES,des_mm1,python,simpy,4.1.1,event_loop,event,,,,,6,"{""lambda"": 0.9, ""mu"": 1.0, ""horizon"": 100000.0}",rho,0.9,0,py_1758743389,,,0.4474122499996156,0.446793,33.88,179776,89888,,,,,0.89888,9.509217777387375,OK,,macOS-15.7-arm64-arm-64bit-Mach-O
DES,des_mm1,python,simpy,4.1.1,event_loop,event,,,,,7,"{""lambda"": 0.9, ""mu"": 1.0, ""horizon"": 100000.0}",rho,0.9,0,py_1758743390,,,0.4936537909998151,0.461827,34.28,180482,90237,,,,,0.90237,9.352244818447245,OK,,macOS-15.7-arm64-arm-64bit-Mach-O
DES,des_mm1,python,simpy,4.1.1,event_loop,event,,,,,8,"{""lambda"": 0.9, ""mu"": 1.0, ""horizon"": 100000.0}",rho,0.9,0,py_1758743390,,,0.4497335419982846,0.449334,34.41,179820,89910,,,,,0.8991,8.836532295705691,OK,,macOS-15.7-arm64-arm-64bit-Mach-O
DES,des_mm1,python,simpy,4.1.1,event_loop,event,,,,,9,"{""lambda"": 0.9, ""mu"": 1.0, ""horizon"": 100000.0}",rho,0.9,0,py_1758743391,,,0.485386667001876,0.463975,33.22,180048,90024,,,,,0.90024,8.013666765978272,OK,,macOS-15.7-arm64-arm-64bit-Mach-O
DES,des_mm1,python,simpy,4.1.1,event_loop,event,,,,,10,"{""lambda"": 0.9, ""mu"": 1.0, ""horizon"": 100000.0}",rho,0.9,0,py_1758743392,,,0.459996208002849,0.458687,34.03,180966,90473,,,,,0.90473,8.834564978639788,OK,,macOS-15.7-arm64-arm-64bit-Mach-O
DES,des_mm1,python,simpy,4.1.1,event_loop,event,,,,,6,"{""lambda"": 0.9, ""mu"": 1.0, ""horizon"": 300000.0}",rho,0.9,0,py_1758743393,,,1.3303059169993503,1.329566,34.55,540181,270079,,,,,0.9002633333333333,8.816998303205391,OK,,macOS-15.7-arm64-arm-64bit-Mach-O
DES,des_mm1,python,simpy,4.1.1,event_loop,event,,,,,7,"{""lambda"": 0.9, ""mu"": 1.0, ""horizon"": 300000.0}",rho,0.9,0,py_1758743395,,,1.3156508329993812,1.315591,33.95,542329,271161,,,,,0.90387,9.681444574166068,OK,,macOS-15.7-arm64-arm-64bit-Mach-O
DES,des_mm1,python,simpy,4.1.1,event_loop,event,,,,,8,"{""lambda"": 0.9, ""mu"": 1.0, ""horizon"": 300000.0}",rho,0.9,0,py_1758743397,,,1.3093133750007837,1.309207,34.05,539206,269593,,,,,0.8986433333333333,8.984592300001417,OK,,macOS-15.7-arm64-arm-64bit-Mach-O
DES,des_mm1,python,simpy,4.1.1,event_loop,event,,,,,9,"{""lambda"": 0.9, ""mu"": 1.0, ""horizon"": 300000.0}",rho,0.9,0,py_1758743398,,,1.31265600000188,1.312575,34.17,540077,270037,,,,,0.9001233333333334,8.550122942153175,OK,,macOS-15.7-arm64-arm-64bit-Mach-O
DES,des_mm1,python,simpy,4.1.1,event_loop,event,,,,,10,"{""lambda"": 0.9, ""mu"": 1.0, ""horizon"": 300000.0}",rho,0.9,0,py_1758743400,,,1.3178994580011931,1.317814,34.05,539275,269635,,,,,0.8987833333333334,8.729344924046314,OK,,macOS-15.7-arm64-arm-64bit-Mach-O
DES,des_mm1,python,simpy,4.1.1,event_loop,event,,,,,6,"{""lambda"": 0.9, ""mu"": 1.0, ""horizon"": 1000000.0}",rho,0.9,0,py_1758743405,,,4.363177250001172,4.362981,33.92,1802280,901135,,,,,0.901135,9.041239341528016,OK,,macOS-15.7-arm64-arm-64bit-Mach-O
DES,des_mm1,python,simpy,4.1.1,event_loop,event,,,,,7,"{""lambda"": 0.9, ""mu"": 1.0, ""horizon"": 1000000.0}",rho,0.9,0,py_1758743409,,,4.352396833000967,4.351521,32.86,1802245,901118,,,,,0.901118,9.084919640579264,OK,,macOS-15.7-arm64-arm-64bit-Mach-O
