platform,family,benchmark_id,tool,solver,status,wall_time_s,rmse,linf,n_steps,params_json,peak_mem_mb
matlab,STOCH,ssa_sir,event_loop,gillespie,OK,0.0767986666666667,14.8908418910041,61.626175593627,1859,"{""beta"":0.0003,""gamma"":0.1,""N"":1000,""I0"":10,""t_end"":160,""n_rep"":1,""seed"":43}",446.44
matlab,STOCH,ssa_sir,event_loop,gillespie,OK,0.0747583333333333,12.8975107188377,43.3102509008086,1865,"{""beta"":0.0003,""gamma"":0.1,""N"":1000,""I0"":10,""t_end"":160,""n_rep"":1,""seed"":44}",504.41
matlab,STOCH,ssa_sir,event_loop,gillespie,OK,0.0520504166666667,36.4565919871291,141.914856564981,1841,"{""beta"":0.0003,""gamma"":0.1,""N"":1000,""I0"":10,""t_end"":160,""n_rep"":1,""seed"":45}",540.28
matlab,STOCH,ssa_sir,event_loop,gillespie,OK,0.03198075,43.587092034638,196.723172332952,1883,"{""beta"":0.0003,""gamma"":0.1,""N"":1000,""I0"":10,""t_end"":160,""n_rep"":1,""seed"":46}",574.84
matlab,STOCH,ssa_sir,event_loop,gillespie,OK,0.0322175,36.0195242678545,146.260035158024,1861,"{""beta"":0.0003,""gamma"":0.1,""N"":1000,""I0"":10,""t_end"":160,""n_rep"":1,""seed"":47}",552.62
matlab,STOCH,ssa_sir,event_loop,gillespie,OK,0.0373253333333333,11.4099299383679,33.5716356863521,5533,"{""beta"":0.0003,""gamma"":0.1,""N"":1000,""I0"":10,""t_end"":160,""n_rep"":3,""seed"":43}",559.31
matlab,STOCH,ssa_sir,event_loop,gillespie,OK,0.0402376666666667,4.98970756191999,21.8580448559646,5615,"{""beta"":0.0003,""gamma"":0.1,""N"":1000,""I0"":10,""t_end"":160,""n_rep"":3,""seed"":44}",595.12
matlab,STOCH,ssa_sir,event_loop,gillespie,OK,0.0351873333333333,14.9242749681594,59.6222617428683,5561,"{""beta"":0.0003,""gamma"":0.1,""N"":1000,""I0"":10,""t_end"":160,""n_rep"":3,""seed"":45}",595.97
matlab,STOCH,ssa_sir,event_loop,gillespie,OK,0.0537458333333333,20.4954402377676,80.2550098345492,5673,"{""beta"":0.0003,""gamma"":0.1,""N"":1000,""I0"":10,""t_end"":160,""n_rep"":3,""seed"":46}",506.91
matlab,STOCH,ssa_sir,event_loop,gillespie,OK,0.0379605833333333,4.6432537701512,19.0950309803146,5651,"{""beta"":0.0003,""gamma"":0.1,""N"":1000,""I0"":10,""t_end"":160,""n_rep"":3,""seed"":47}",586.55
matlab,STOCH,ssa_sir,event_loop,gillespie,OK,0.0452437083333333,10.6217871112758,39.8222617428684,18730,"{""beta"":0.0003,""gamma"":0.1,""N"":1000,""I0"":10,""t_end"":160,""n_rep"":10,""seed"":43}",584.62
matlab,STOCH,ssa_sir,event_loop,gillespie,OK,0.0535901666666667,3.71246872003493,9.21025090080857,18820,"{""beta"":0.0003,""gamma"":0.1,""N"":1000,""I0"":10,""t_end"":160,""n_rep"":10,""seed"":44}",577.5
matlab,STOCH,ssa_sir,event_loop,gillespie,OK,0.04438125,10.4200091229714,42.7399648419756,18626,"{""beta"":0.0003,""gamma"":0.1,""N"":1000,""I0"":10,""t_end"":160,""n_rep"":10,""seed"":45}",547.75
matlab,STOCH,ssa_sir,event_loop,gillespie,OK,0.0428342916666667,9.11608841722526,34.0592617301945,18778,"{""beta"":0.0003,""gamma"":0.1,""N"":1000,""I0"":10,""t_end"":160,""n_rep"":10,""seed"":46}",582.67
matlab,STOCH,ssa_sir,event_loop,gillespie,OK,0.0417974166666667,13.9493203671024,55.673824406373,18796,"{""beta"":0.0003,""gamma"":0.1,""N"":1000,""I0"":10,""t_end"":160,""n_rep"":10,""seed"":47}",591.89
matlab,STOCH,ssa_sir,event_loop,gillespie,OK,0.0717132083333333,2.74597661989135,10.3738284631709,55976,"{""beta"":0.0003,""gamma"":0.1,""N"":1000,""I0"":10,""t_end"":160,""n_rep"":30,""seed"":43}",590.61
matlab,STOCH,ssa_sir,event_loop,gillespie,OK,0.0691969166666667,9.28003017590445,35.9777382571317,56392,"{""beta"":0.0003,""gamma"":0.1,""N"":1000,""I0"":10,""t_end"":160,""n_rep"":30,""seed"":44}",578.5
matlab,STOCH,ssa_sir,event_loop,gillespie,OK,0.0662740833333333,2.21336516793386,7.11503207629841,56046,"{""beta"":0.0003,""gamma"":0.1,""N"":1000,""I0"":10,""t_end"":160,""n_rep"":30,""seed"":45}",558.88
matlab,STOCH,ssa_sir,event_loop,gillespie,OK,0.06667425,5.07503232842173,20.8348393800603,56142,"{""beta"":0.0003,""gamma"":0.1,""N"":1000,""I0"":10,""t_end"":160,""n_rep"":30,""seed"":46}",572.2
matlab,STOCH,ssa_sir,event_loop,gillespie,OK,0.0664300416666667,6.13525006331826,23.9984939532731,56168,"{""beta"":0.0003,""gamma"":0.1,""N"":1000,""I0"":10,""t_end"":160,""n_rep"":30,""seed"":47}",574.8
matlab,STOCH,ssa_sir,event_loop,gillespie,OK,0.15406775,2.56243625113396,10.7000351580244,187002,"{""beta"":0.0003,""gamma"":0.1,""N"":1000,""I0"":10,""t_end"":160,""n_rep"":100,""seed"":43}",567.41
matlab,STOCH,ssa_sir,event_loop,gillespie,OK,0.117978583333333,1.71974097250772,4.10381487626435,187674,"{""beta"":0.0003,""gamma"":0.1,""N"":1000,""I0"":10,""t_end"":160,""n_rep"":100,""seed"":44}",555.8
matlab,STOCH,ssa_sir,event_loop,gillespie,OK,0.115287833333333,2.97205300723535,10.768493953273,186765,"{""beta"":0.0003,""gamma"":0.1,""N"":1000,""I0"":10,""t_end"":160,""n_rep"":100,""seed"":45}",567.89
matlab,STOCH,ssa_sir,event_loop,gillespie,OK,0.117793291666667,1.43876744018188,5.00711455206405,187283,"{""beta"":0.0003,""gamma"":0.1,""N"":1000,""I0"":10,""t_end"":160,""n_rep"":100,""seed"":46}",615.14
