platform,family,benchmark_id,tool,solver,status,wall_time_s,rmse,linf,n_steps,params_json,peak_mem_mb
python,HYBRID,hybrid_bounce,scipy.integrate.solve_ivp,events,OK,0.0018669579985726,0.0732344309766009,0.3462792215425676,26,"{""t_end"": 10.0, ""rtol"": 0.001, ""atol"": 1e-05, ""e"": 0.9, ""h0"": 10.0, ""v0"": 0.0}",97.89
python,HYBRID,hybrid_bounce,scipy.integrate.solve_ivp,events,OK,0.0014123330001893,0.0732344309766009,0.3462792215425676,26,"{""t_end"": 10.0, ""rtol"": 0.001, ""atol"": 1e-05, ""e"": 0.9, ""h0"": 10.0, ""v0"": 0.0}",97.56
python,HYBRID,hybrid_bounce,scipy.integrate.solve_ivp,events,OK,0.0012757080003211,0.0732344309766009,0.3462792215425676,26,"{""t_end"": 10.0, ""rtol"": 0.001, ""atol"": 1e-05, ""e"": 0.9, ""h0"": 10.0, ""v0"": 0.0}",97.34
python,HYBRID,hybrid_bounce,scipy.integrate.solve_ivp,events,OK,0.0018114170015905,0.0732344309766009,0.3462792215425676,26,"{""t_end"": 10.0, ""rtol"": 0.001, ""atol"": 1e-05, ""e"": 0.9, ""h0"": 10.0, ""v0"": 0.0}",98.33
python,HYBRID,hybrid_bounce,scipy.integrate.solve_ivp,events,OK,0.0016392090001318,0.0732344309766009,0.3462792215425676,26,"{""t_end"": 10.0, ""rtol"": 0.001, ""atol"": 1e-05, ""e"": 0.9, ""h0"": 10.0, ""v0"": 0.0}",98.31
python,HYBRID,hybrid_bounce,scipy.integrate.solve_ivp,events,OK,0.0012514579975686,0.0732344309766029,0.3462792215425676,26,"{""t_end"": 10.0, ""rtol"": 1e-06, ""atol"": 1e-08, ""e"": 0.9, ""h0"": 10.0, ""v0"": 0.0}",98.09
python,HYBRID,hybrid_bounce,scipy.integrate.solve_ivp,events,OK,0.0012695410005107,0.0732344309766029,0.3462792215425676,26,"{""t_end"": 10.0, ""rtol"": 1e-06, ""atol"": 1e-08, ""e"": 0.9, ""h0"": 10.0, ""v0"": 0.0}",98.84
python,HYBRID,hybrid_bounce,scipy.integrate.solve_ivp,events,OK,0.0012875840002379,0.0732344309766029,0.3462792215425676,26,"{""t_end"": 10.0, ""rtol"": 1e-06, ""atol"": 1e-08, ""e"": 0.9, ""h0"": 10.0, ""v0"": 0.0}",98.22
python,HYBRID,hybrid_bounce,scipy.integrate.solve_ivp,events,OK,0.0012616249987331,0.0732344309766029,0.3462792215425676,26,"{""t_end"": 10.0, ""rtol"": 1e-06, ""atol"": 1e-08, ""e"": 0.9, ""h0"": 10.0, ""v0"": 0.0}",98.0
python,HYBRID,hybrid_bounce,scipy.integrate.solve_ivp,events,OK,0.0012771670008078,0.0732344309766029,0.3462792215425676,26,"{""t_end"": 10.0, ""rtol"": 1e-06, ""atol"": 1e-08, ""e"": 0.9, ""h0"": 10.0, ""v0"": 0.0}",98.7
python,HYBRID,hybrid_bounce,scipy.integrate.solve_ivp,events,OK,0.0012635419989237,0.0732344309766009,0.3462792215425676,26,"{""t_end"": 10.0, ""rtol"": 1e-09, ""atol"": 1.0000000000000001e-11, ""e"": 0.9, ""h0"": 10.0, ""v0"": 0.0}",97.41
python,HYBRID,hybrid_bounce,scipy.integrate.solve_ivp,events,OK,0.0012746669999614,0.0732344309766009,0.3462792215425676,26,"{""t_end"": 10.0, ""rtol"": 1e-09, ""atol"": 1.0000000000000001e-11, ""e"": 0.9, ""h0"": 10.0, ""v0"": 0.0}",99.19
python,HYBRID,hybrid_bounce,scipy.integrate.solve_ivp,events,OK,0.0012933750003867,0.0732344309766009,0.3462792215425676,26,"{""t_end"": 10.0, ""rtol"": 1e-09, ""atol"": 1.0000000000000001e-11, ""e"": 0.9, ""h0"": 10.0, ""v0"": 0.0}",97.56
python,HYBRID,hybrid_bounce,scipy.integrate.solve_ivp,events,OK,0.0012781660007021,0.0732344309766009,0.3462792215425676,26,"{""t_end"": 10.0, ""rtol"": 1e-09, ""atol"": 1.0000000000000001e-11, ""e"": 0.9, ""h0"": 10.0, ""v0"": 0.0}",98.86
python,HYBRID,hybrid_bounce,scipy.integrate.solve_ivp,events,OK,0.0012730839989671,0.0732344309766009,0.3462792215425676,26,"{""t_end"": 10.0, ""rtol"": 1e-09, ""atol"": 1.0000000000000001e-11, ""e"": 0.9, ""h0"": 10.0, ""v0"": 0.0}",98.14
