family,benchmark_id,platform,tool,version,solver,step_mode,abs_tol,rel_tol,dt_init,dt_max,seed,params_json,scale_param,scale_value,repeat_idx,run_id,start_ts,end_ts,wall_time_s,cpu_time_s,peak_mem_mb,n_steps,n_events,rmse,linf,event_time_err_mean,event_time_err_max,throughput,L_timeavg,status,error_message,host
ODE,ode_robertson,R,deSolve,1.4,lsoda,adaptive,1e-05,0.001,,,,"{""t_end"":1e+05,""rtol"":0.001,""atol"":1e-05,""method"":""lsoda""}",t_end,100000.0,0,r_1758743750,,,0.013,0.014,78.03,499,,0.0002110579969365,0.0003892197575819,,,,,OK,,R version 4.5.1 (2025-06-13)
ODE,ode_robertson,R,deSolve,1.4,lsoda,adaptive,1e-05,0.001,,,,"{""t_end"":1e+05,""rtol"":0.001,""atol"":1e-05,""method"":""lsoda""}",t_end,100000.0,0,r_1758743760,,,0.014,0.013,77.94,499,,0.0002110579969365,0.0003892197575819,,,,,OK,,R version 4.5.1 (2025-06-13)
ODE,ode_robertson,R,deSolve,1.4,lsoda,adaptive,1e-05,0.001,,,,"{""t_end"":1e+05,""rtol"":0.001,""atol"":1e-05,""method"":""lsoda""}",t_end,100000.0,0,r_1758743768,,,0.013,0.014,74.14,499,,0.0002110579969365,0.0003892197575819,,,,,OK,,R version 4.5.1 (2025-06-13)
ODE,ode_robertson,R,deSolve,1.4,lsoda,adaptive,1e-05,0.001,,,,"{""t_end"":1e+05,""rtol"":0.001,""atol"":1e-05,""method"":""lsoda""}",t_end,100000.0,0,r_1758743775,,,0.013,0.014,74.75,499,,0.0002110579969365,0.0003892197575819,,,,,OK,,R version 4.5.1 (2025-06-13)
ODE,ode_robertson,R,deSolve,1.4,lsoda,adaptive,1e-05,0.001,,,,"{""t_end"":1e+05,""rtol"":0.001,""atol"":1e-05,""method"":""lsoda""}",t_end,100000.0,0,r_1758743781,,,0.013,0.013,77.7,499,,0.0002110579969365,0.0003892197575819,,,,,OK,,R version 4.5.1 (2025-06-13)
ODE,ode_robertson,R,deSolve,1.4,lsoda,adaptive,1e-08,1e-06,,,,"{""t_end"":1e+05,""rtol"":1e-06,""atol"":1e-08,""method"":""lsoda""}",t_end,100000.0,0,r_1758743789,,,0.015,0.014,77.3,499,,1.42050014891562e-06,2.79650608836501e-06,,,,,OK,,R version 4.5.1 (2025-06-13)
ODE,ode_robertson,R,deSolve,1.4,lsoda,adaptive,1e-08,1e-06,,,,"{""t_end"":1e+05,""rtol"":1e-06,""atol"":1e-08,""method"":""lsoda""}",t_end,100000.0,0,r_1758743796,,,0.015,0.014,76.83,499,,1.42050014891562e-06,2.79650608836501e-06,,,,,OK,,R version 4.5.1 (2025-06-13)
ODE,ode_robertson,R,deSolve,1.4,lsoda,adaptive,1e-08,1e-06,,,,"{""t_end"":1e+05,""rtol"":1e-06,""atol"":1e-08,""method"":""lsoda""}",t_end,100000.0,0,r_1758743803,,,0.017,0.018,76.61,499,,1.42050014891562e-06,2.79650608836501e-06,,,,,OK,,R version 4.5.1 (2025-06-13)
ODE,ode_robertson,R,deSolve,1.4,lsoda,adaptive,1e-08,1e-06,,,,"{""t_end"":1e+05,""rtol"":1e-06,""atol"":1e-08,""method"":""lsoda""}",t_end,100000.0,0,r_1758743810,,,0.015,0.015,74.59,499,,1.42050014891562e-06,2.79650608836501e-06,,,,,OK,,R version 4.5.1 (2025-06-13)
ODE,ode_robertson,R,deSolve,1.4,lsoda,adaptive,1e-08,1e-06,,,,"{""t_end"":1e+05,""rtol"":1e-06,""atol"":1e-08,""method"":""lsoda""}",t_end,100000.0,0,r_1758743817,,,0.014,0.014,76.75,499,,1.42050014891562e-06,2.79650608836501e-06,,,,,OK,,R version 4.5.1 (2025-06-13)
