family,benchmark_id,platform,tool,version,solver,step_mode,abs_tol,rel_tol,dt_init,dt_max,seed,params_json,scale_param,scale_value,repeat_idx,run_id,start_ts,end_ts,wall_time_s,cpu_time_s,peak_mem_mb,n_steps,n_events,rmse,linf,event_time_err_mean,event_time_err_max,throughput,L_timeavg,status,error_message,host
ODE,ode_robertson,python,scipy.integrate.solve_ivp,1.16.2,BDF,adaptive,1e-05,0.001,,,,"{""t_end"": 100000.0, ""rtol"": 0.001, ""atol"": 1e-05, ""method"": ""BDF""}",t_end,100000.0,0,py_1758743749,,,0.0100747920005233,0.007114,67.48,499,,0.0001063749252953,0.0003631214182751,,,,,OK,,macOS-15.7-arm64-arm-64bit-Mach-O
ODE,ode_robertson,python,scipy.integrate.solve_ivp,1.16.2,BDF,adaptive,1e-05,0.001,,,,"{""t_end"": 100000.0, ""rtol"": 0.001, ""atol"": 1e-05, ""method"": ""BDF""}",t_end,100000.0,0,py_1758743760,,,0.0099987920002604,0.0074889999999999,67.98,499,,0.0001063749252953,0.0003631214182751,,,,,OK,,macOS-15.7-arm64-arm-64bit-Mach-O
ODE,ode_robertson,python,scipy.integrate.solve_ivp,1.16.2,BDF,adaptive,1e-05,0.001,,,,"{""t_end"": 100000.0, ""rtol"": 0.001, ""atol"": 1e-05, ""method"": ""BDF""}",t_end,100000.0,0,py_1758743768,,,0.0060439170010795,0.0060439999999999,68.5,499,,0.0001063749252953,0.0003631214182751,,,,,OK,,macOS-15.7-arm64-arm-64bit-Mach-O
ODE,ode_robertson,python,scipy.integrate.solve_ivp,1.16.2,BDF,adaptive,1e-05,0.001,,,,"{""t_end"": 100000.0, ""rtol"": 0.001, ""atol"": 1e-05, ""method"": ""BDF""}",t_end,100000.0,0,py_1758743775,,,0.0060806250003224,0.00608,67.53,499,,0.0001063749252953,0.0003631214182751,,,,,OK,,macOS-15.7-arm64-arm-64bit-Mach-O
ODE,ode_robertson,python,scipy.integrate.solve_ivp,1.16.2,BDF,adaptive,1e-05,0.001,,,,"{""t_end"": 100000.0, ""rtol"": 0.001, ""atol"": 1e-05, ""method"": ""BDF""}",t_end,100000.0,0,py_1758743781,,,0.0060370829996827,0.006037,68.09,499,,0.0001063749252953,0.0003631214182751,,,,,OK,,macOS-15.7-arm64-arm-64bit-Mach-O
ODE,ode_robertson,python,scipy.integrate.solve_ivp,1.16.2,BDF,adaptive,1e-08,1e-06,,,,"{""t_end"": 100000.0, ""rtol"": 1e-06, ""atol"": 1e-08, ""method"": ""BDF""}",t_end,100000.0,0,py_1758743788,,,0.0155785409988311,0.015578,68.17,499,,4.108413483885589e-07,1.4132679649891957e-06,,,,,OK,,macOS-15.7-arm64-arm-64bit-Mach-O
ODE,ode_robertson,python,scipy.integrate.solve_ivp,1.16.2,BDF,adaptive,1e-08,1e-06,,,,"{""t_end"": 100000.0, ""rtol"": 1e-06, ""atol"": 1e-08, ""method"": ""BDF""}",t_end,100000.0,0,py_1758743795,,,0.015523458001553,0.0155199999999999,67.94,499,,4.108413483885589e-07,1.4132679649891957e-06,,,,,OK,,macOS-15.7-arm64-arm-64bit-Mach-O
ODE,ode_robertson,python,scipy.integrate.solve_ivp,1.16.2,BDF,adaptive,1e-08,1e-06,,,,"{""t_end"": 100000.0, ""rtol"": 1e-06, ""atol"": 1e-08, ""method"": ""BDF""}",t_end,100000.0,0,py_1758743802,,,0.0155545419984264,0.0155529999999999,67.8,499,,4.108413483885589e-07,1.4132679649891957e-06,,,,,OK,,macOS-15.7-arm64-arm-64bit-Mach-O
ODE,ode_robertson,python,scipy.integrate.solve_ivp,1.16.2,BDF,adaptive,1e-08,1e-06,,,,"{""t_end"": 100000.0, ""rtol"": 1e-06, ""atol"": 1e-08, ""method"": ""BDF""}",t_end,100000.0,0,py_1758743810,,,0.0158076669977162,0.0157989999999999,68.09,499,,4.108413483885589e-07,1.4132679649891957e-06,,,,,OK,,macOS-15.7-arm64-arm-64bit-Mach-O
ODE,ode_robertson,python,scipy.integrate.solve_ivp,1.16.2,BDF,adaptive,1e-08,1e-06,,,,"{""t_end"": 100000.0, ""rtol"": 1e-06, ""atol"": 1e-08, ""method"": ""BDF""}",t_end,100000.0,0,py_1758743817,,,0.0155604169995058,0.015536,67.7,499,,4.108413483885589e-07,1.4132679649891957e-06,,,,,OK,,macOS-15.7-arm64-arm-64bit-Mach-O
