platform,family,benchmark_id,tool,solver,status,wall_time_s,rmse,linf,n_steps,params_json,peak_mem_mb
R,STOCH,ssa_sir,event_loop,gillespie,OK,0.034,20.3569107119025,85.1697697291652,1865,"{""beta"":0.0003,""gamma"":0.1,""N"":1000,""I0"":10,""t_end"":160,""n_rep"":1,""seed"":43}",133.55
R,STOCH,ssa_sir,event_loop,gillespie,OK,0.033,30.3651445611408,124.90389698625,1889,"{""beta"":0.0003,""gamma"":0.1,""N"":1000,""I0"":10,""t_end"":160,""n_rep"":1,""seed"":44}",132.3
R,STOCH,ssa_sir,event_loop,gillespie,OK,0.033,14.0251012938515,50.3420676257788,1885,"{""beta"":0.0003,""gamma"":0.1,""N"":1000,""I0"":10,""t_end"":160,""n_rep"":1,""seed"":45}",130.52
R,STOCH,ssa_sir,event_loop,gillespie,OK,0.033,26.9288134913842,100.622261742868,1883,"{""beta"":0.0003,""gamma"":0.1,""N"":1000,""I0"":10,""t_end"":160,""n_rep"":1,""seed"":46}",130.12
R,STOCH,ssa_sir,event_loop,gillespie,OK,0.031,10.7805628081793,42.4092761937005,1863,"{""beta"":0.0003,""gamma"":0.1,""N"":1000,""I0"":10,""t_end"":160,""n_rep"":1,""seed"":47}",129.5
R,STOCH,ssa_sir,event_loop,gillespie,OK,0.065,5.2470637806797,20.5910064618505,5591,"{""beta"":0.0003,""gamma"":0.1,""N"":1000,""I0"":10,""t_end"":160,""n_rep"":3,""seed"":43}",136.66
R,STOCH,ssa_sir,event_loop,gillespie,OK,0.073,22.0987465417372,97.2754426856945,5635,"{""beta"":0.0003,""gamma"":0.1,""N"":1000,""I0"":10,""t_end"":160,""n_rep"":3,""seed"":44}",133.2
R,STOCH,ssa_sir,event_loop,gillespie,OK,0.072,29.8547986976033,115.481082293318,5601,"{""beta"":0.0003,""gamma"":0.1,""N"":1000,""I0"":10,""t_end"":160,""n_rep"":3,""seed"":45}",138.06
R,STOCH,ssa_sir,event_loop,gillespie,OK,0.069,37.0907690746609,147.460396110176,5663,"{""beta"":0.0003,""gamma"":0.1,""N"":1000,""I0"":10,""t_end"":160,""n_rep"":3,""seed"":46}",133.88
R,STOCH,ssa_sir,event_loop,gillespie,OK,0.065,13.0494816159616,50.1910375002673,5541,"{""beta"":0.0003,""gamma"":0.1,""N"":1000,""I0"":10,""t_end"":160,""n_rep"":3,""seed"":47}",132.72
